time_step,hour_of_day,day_of_week,cpu_util_percent,mem_util_percent,net_in_mbps,net_out_mbps,disk_io_percent
33,2.75,0,29.97,47.67,46.73,99.15,17.29
34,2.83,0,31.75,48.93,51.88,111.7,23.45
35,2.92,0,29.91,46.43,47.23,95.2,17.41
36,3.0,0,26.15,48.03,56.38,118.36,15.52
37,3.08,0,33.56,49.8,53.07,104.64,26.68
38,3.17,0,30.12,49.9,46.18,97.94,9.11
39,3.25,0,30.33,47.55,61.95,119.67,16.21
40,3.33,0,31.95,48.05,63.02,132.57,19.05
41,3.42,0,31.64,47.75,54.86,114.14,16.31
42,3.5,0,31.54,49.99,51.81,105.61,9.48
43,3.58,0,28.69,46.55,46.4,83.51,18.79
44,3.67,0,33.14,49.5,54.41,110.18,16.45
45,3.75,0,36.35,50.32,51.62,96.74,18.54
46,3.83,0,35.18,51.71,61.08,121.72,23.83
47,3.92,0,37.94,48.6,73.75,149.14,20.7
48,4.0,0,58.43,61.79,89.62,174.76,61.1
49,4.08,0,56.89,64.06,74.44,148.28,64.77
50,4.17,0,60.88,64.87,91.7,173.2,62.49
51,4.25,0,59.98,60.76,88.54,161.74,62.75
52,4.33,0,34.76,51.63,60.28,114.65,21.72
53,4.42,0,37.69,52.56,53.67,104.95,16.85
54,4.5,0,35.59,53.95,57.73,113.84,21.14
55,4.58,0,33.38,45.0,62.12,128.15,17.42
56,4.67,0,36.2,53.52,49.88,103.44,17.02
57,4.75,0,39.76,52.36,59.12,127.52,17.92
58,4.83,0,41.34,52.11,62.3,117.13,17.88
59,4.92,0,41.72,52.23,73.05,147.31,20.79
60,5.0,0,41.31,50.99,73.75,147.13,19.23
61,5.08,0,39.66,51.62,47.59,95.08,25.39
62,5.17,0,42.09,51.78,73.49,137.47,16.97
63,5.25,0,40.95,53.79,73.57,139.35,22.41
64,5.33,0,41.92,55.05,74.22,140.29,25.05
65,5.42,0,38.67,51.89,57.17,121.45,26.59
66,5.5,0,42.54,57.14,64.21,129.73,17.39
67,5.58,0,44.15,53.77,55.44,114.12,25.13
68,5.67,0,44.45,54.39,53.34,106.45,21.94
69,5.75,0,39.19,51.69,59.13,115.29,24.01
70,5.83,0,44.46,56.21,68.97,135.83,18.54
71,5.92,0,39.51,54.18,63.83,125.4,19.41
72,6.0,0,45.61,56.51,76.3,146.86,19.95
73,6.08,0,42.98,54.09,91.07,175.75,18.94
74,6.17,0,51.84,55.65,74.04,137.95,23.13
75,6.25,0,46.73,55.39,62.63,124.06,31.66
76,6.33,0,49.55,60.25,78.83,151.33,25.06
77,6.42,0,54.57,61.58,82.26,154.49,22.24
78,6.5,0,44.75,55.73,64.1,128.59,20.02
79,6.58,0,49.57,56.54,81.77,166.16,24.64
80,6.67,0,44.32,54.92,61.69,127.43,20.34
81,6.75,0,50.11,56.79,74.1,141.97,21.8
82,6.83,0,55.51,62.37,81.04,159.2,19.44
83,6.92,0,47.56,54.72,64.49,130.29,21.7
84,7.0,0,47.08,58.03,57.81,114.66,11.77
85,7.08,0,50.28,56.57,77.08,148.63,15.5
86,7.17,0,58.17,63.82,95.76,184.09,23.14
87,7.25,0,54.13,60.21,87.64,180.32,26.17
88,7.33,0,48.67,55.4,81.63,158.22,28.61
89,7.42,0,57.34,60.19,77.42,143.02,25.94
90,7.5,0,46.86,57.51,72.95,136.07,23.85
91,7.58,0,60.53,61.24,76.25,146.39,25.58
92,7.67,0,56.45,60.45,84.09,155.13,27.47
93,7.75,0,60.02,60.98,98.13,185.98,25.86
94,7.83,0,48.47,60.33,84.52,173.26,23.61
95,7.92,0,55.21,63.71,97.5,182.94,17.55
96,8.0,0,78.48,73.24,117.09,215.33,66.6
97,8.08,0,75.8,68.86,109.77,206.55,64.97
98,8.17,0,51.21,57.24,83.45,159.69,21.14
99,8.25,0,57.89,59.49,89.91,166.89,23.1
100,8.33,0,58.56,64.43,78.82,145.68,19.31
101,8.42,0,61.38,64.48,76.53,154.53,27.5
102,8.5,0,55.41,61.89,88.56,171.91,24.79
103,8.58,0,57.02,60.16,100.17,187.9,24.53
104,8.67,0,53.02,55.34,86.01,159.05,24.17
105,8.75,0,63.58,60.55,76.3,144.74,20.91
106,8.83,0,58.76,61.56,81.35,150.3,31.74
107,8.92,0,61.36,61.57,87.06,163.81,29.11
108,9.0,0,61.79,61.53,74.31,154.08,27.93
109,9.08,0,64.55,64.74,81.45,157.8,32.08
110,9.17,0,56.84,62.6,82.91,156.14,25.05
111,9.25,0,62.48,61.71,92.07,179.12,24.49
112,9.33,0,60.23,59.49,79.39,148.26,26.15
113,9.42,0,67.97,64.23,85.18,161.29,33.1
114,9.5,0,57.95,58.99,94.08,170.08,20.91
115,9.58,0,65.23,65.54,90.21,178.76,32.37
116,9.67,0,62.61,63.17,88.22,167.78,20.24
117,9.75,0,62.67,66.96,85.83,160.41,27.8
118,9.83,0,62.06,64.39,83.3,163.19,29.56
119,9.92,0,66.81,68.69,105.6,194.83,29.28
120,10.0,0,63.24,60.65,83.85,156.0,30.0
121,10.08,0,57.2,54.23,85.08,161.24,23.79
122,10.17,0,67.01,65.64,95.48,175.88,21.66
123,10.25,0,66.56,65.2,79.88,150.51,30.84
124,10.33,0,65.18,64.09,95.14,180.27,33.69
125,10.42,0,59.36,61.9,73.88,142.44,24.18
126,10.5,0,60.07,59.78,92.17,169.28,27.75
127,10.58,0,57.07,61.81,73.99,141.96,20.96
128,10.67,0,65.41,65.9,97.66,188.7,22.74
129,10.75,0,59.22,59.25,82.62,162.46,25.23
130,10.83,0,58.06,60.42,79.28,150.21,21.6
131,10.92,0,68.66,65.31,99.08,187.4,27.55
132,11.0,0,67.01,63.81,83.63,159.3,38.87
133,11.08,0,63.26,61.15,90.36,165.69,22.99
134,11.17,0,64.06,63.85,98.13,183.93,27.38
135,11.25,0,56.19,60.81,90.77,177.37,17.01
136,11.33,0,67.9,64.34,92.78,181.07,29.07
137,11.42,0,62.34,60.87,87.28,169.16,22.76
138,11.5,0,65.98,65.51,82.25,148.04,27.67
139,11.58,0,56.17,58.74,76.4,143.61,25.11
140,11.67,0,68.35,65.14,84.53,164.5,27.64
141,11.75,0,62.32,62.17,93.31,186.52,21.79
142,11.83,0,60.16,64.57,93.94,179.01,23.91
143,11.92,0,63.81,62.27,87.93,168.76,26.89
144,12.0,0,80.25,74.56,102.84,194.54,55.1
145,12.08,0,86.1,75.25,120.78,220.87,63.15
146,12.17,0,80.85,75.02,105.08,200.9,56.39
147,12.25,0,69.73,67.71,104.05,189.68,23.46
148,12.33,0,66.08,64.29,109.78,207.18,28.25
149,12.42,0,90.71,73.99,173.54,322.82,22.89
150,12.5,0,64.82,63.46,86.85,166.58,34.05
151,12.58,0,69.22,69.12,86.39,159.0,20.42
152,12.67,0,60.66,62.2,88.96,166.58,28.75
153,12.75,0,65.01,65.58,93.64,182.0,29.22
154,12.83,0,63.14,63.83,88.6,169.85,21.26
155,12.92,0,69.32,66.69,98.31,183.44,29.57
156,13.0,0,69.57,66.88,90.13,166.88,24.63
157,13.08,0,64.2,64.88,78.74,155.74,25.39
158,13.17,0,59.55,60.17,80.39,154.88,26.77
159,13.25,0,65.43,63.9,78.52,145.68,26.17
160,13.33,0,57.97,61.7,77.49,148.53,20.49
161,13.42,0,69.33,66.53,100.68,187.19,28.97
162,13.5,0,61.82,61.9,89.66,172.9,24.62
163,13.58,0,63.2,64.27,76.65,154.24,25.36
164,13.67,0,60.74,60.79,96.29,177.91,24.98
165,13.75,0,59.78,59.46,85.18,164.11,19.56
166,13.83,0,89.39,75.82,172.06,320.39,27.85
167,13.92,0,61.98,60.49,86.46,155.63,23.14
168,14.0,0,62.47,63.67,85.3,167.7,27.26
169,14.08,0,58.58,57.45,78.36,161.54,20.93
170,14.17,0,64.86,62.74,99.34,189.5,30.97
171,14.25,0,64.98,63.59,84.13,168.23,27.05
172,14.33,0,60.65,59.08,89.26,164.39,26.62
173,14.42,0,65.57,63.76,82.95,155.72,25.06
174,14.5,0,60.5,64.6,87.31,167.51,18.74
175,14.58,0,87.98,72.05,184.33,337.52,34.12
176,14.67,0,54.64,58.9,82.71,159.06,20.77
177,14.75,0,61.27,65.98,89.18,175.53,19.35
178,14.83,0,58.8,59.33,83.64,156.14,21.36
179,14.92,0,89.14,77.91,186.31,350.6,31.97
180,15.0,0,59.53,61.23,78.02,140.81,15.37
181,15.08,0,59.27,61.88,88.51,166.48,23.47
182,15.17,0,60.67,64.88,77.71,148.89,29.2
183,15.25,0,56.21,59.32,70.52,132.31,24.18
184,15.33,0,59.85,63.19,98.26,184.09,29.76
185,15.42,0,61.83,64.59,87.12,173.8,23.85
186,15.5,0,52.24,57.21,82.77,165.18,27.67
187,15.58,0,54.09,57.82,86.9,170.02,18.16
188,15.67,0,53.89,58.79,80.07,159.34,25.87
189,15.75,0,52.29,58.14,74.73,141.42,22.64
190,15.83,0,54.08,57.18,77.02,142.53,28.94
191,15.92,0,58.99,60.26,98.65,183.54,23.1
192,16.0,0,81.96,64.95,108.88,202.68,59.11
193,16.08,0,76.88,68.93,108.67,202.55,64.08
194,16.17,0,74.99,70.53,110.41,211.37,68.17
195,16.25,0,78.54,67.01,111.26,211.88,63.41
196,16.33,0,45.18,54.4,77.89,149.32,21.13
197,16.42,0,49.36,62.1,71.14,137.48,17.48
198,16.5,0,44.53,54.99,73.82,148.35,24.92
199,16.58,0,48.52,59.55,58.87,109.5,21.92
200,16.67,0,49.16,55.1,84.76,166.52,25.09
201,16.75,0,56.6,61.37,91.91,165.43,24.94
202,16.83,0,41.35,51.24,62.19,119.1,28.5
203,16.92,0,49.14,57.91,77.48,157.01,20.05
204,17.0,0,52.34,60.24,84.94,164.4,21.0
205,17.08,0,51.19,59.25,68.13,130.3,26.85
206,17.17,0,82.58,71.47,183.28,344.49,34.8
207,17.25,0,49.47,57.81,63.91,128.02,26.64
208,17.33,0,49.78,57.97,83.85,163.7,22.4
209,17.42,0,41.61,55.06,71.51,137.71,21.23
210,17.5,0,44.15,54.62,65.73,133.12,15.65
211,17.58,0,40.94,55.28,60.95,116.49,19.59
212,17.67,0,48.75,59.81,72.31,136.69,23.29
213,17.75,0,47.53,55.75,64.86,136.11,22.99
214,17.83,0,46.97,56.23,69.97,133.45,18.71
215,17.92,0,42.35,52.25,57.52,103.54,16.19
216,18.0,0,41.59,54.4,72.1,145.09,24.58
217,18.08,0,45.3,56.08,78.45,158.02,24.87
218,18.17,0,41.78,53.92,72.7,139.69,19.52
219,18.25,0,40.12,53.32,53.59,96.46,24.16
220,18.33,0,41.48,57.51,63.11,123.31,24.13
221,18.42,0,40.51,47.46,68.29,143.28,13.41
222,18.5,0,39.36,51.72,68.38,134.09,19.42
223,18.58,0,37.67,51.26,45.49,95.73,24.77
224,18.67,0,43.1,57.31,72.64,144.89,14.41
225,18.75,0,46.54,56.9,60.91,124.49,15.83
226,18.83,0,40.53,54.24,62.41,131.65,22.64
227,18.92,0,41.02,55.98,74.29,149.12,25.43
228,19.0,0,41.7,53.41,74.02,142.83,19.31
229,19.08,0,40.69,54.61,74.43,138.4,18.29
230,19.17,0,36.02,50.15,49.7,101.6,12.21
231,19.25,0,44.59,52.96,61.95,120.55,19.95
232,19.33,0,35.51,54.57,53.11,109.18,12.99
233,19.42,0,40.02,53.75,61.85,117.02,18.59
234,19.5,0,39.2,53.93,63.78,123.29,25.04
235,19.58,0,30.09,46.38,61.33,120.44,12.34
236,19.67,0,35.29,51.9,49.92,95.16,17.81
237,19.75,0,36.35,54.92,53.59,106.67,22.53
238,19.83,0,63.46,63.0,170.61,321.03,22.76
239,19.92,0,36.44,48.88,49.45,108.56,20.74
240,20.0,0,61.67,63.12,94.82,176.99,64.68
241,20.08,0,58.61,59.3,84.63,166.86,60.99
242,20.17,0,35.5,47.86,60.7,109.37,19.27
243,20.25,0,33.73,48.71,48.99,98.14,14.04
244,20.33,0,29.97,47.5,56.62,112.27,15.89
245,20.42,0,33.29,48.0,49.71,103.55,18.97
246,20.5,0,35.45,53.6,46.18,90.52,11.26
247,20.58,0,36.36,55.14,62.48,123.68,10.1
248,20.67,0,34.02,51.55,40.83,89.04,17.89
249,20.75,0,36.48,52.19,54.24,101.99,20.64
250,20.83,0,32.95,49.55,56.87,102.58,18.59
251,20.92,0,34.19,48.59,62.09,127.17,12.06
252,21.0,0,34.14,53.57,65.78,123.41,22.95
253,21.08,0,29.77,48.27,64.95,129.19,17.86
254,21.17,0,32.8,48.83,66.13,138.78,22.08
255,21.25,0,26.67,49.03,48.54,101.55,14.11
256,21.33,0,30.9,48.76,61.09,115.1,18.79
257,21.42,0,31.42,51.09,54.12,100.1,19.94
258,21.5,0,32.81,48.95,59.86,113.86,22.22
259,21.58,0,31.74,51.32,48.3,97.8,21.62
260,21.67,0,32.34,51.51,57.51,112.26,14.89
261,21.75,0,28.02,50.26,44.84,97.52,16.54
262,21.83,0,26.92,45.7,45.92,95.99,14.64
263,21.92,0,26.94,46.96,51.05,98.24,17.31
264,22.0,0,28.61,51.77,66.06,133.15,11.4
265,22.08,0,21.13,44.02,43.52,95.87,8.92
266,22.17,0,31.92,50.99,53.21,104.21,27.52
267,22.25,0,27.22,51.83,41.01,86.21,24.55
268,22.33,0,25.42,42.74,52.68,100.44,21.02
269,22.42,0,17.84,42.47,33.72,69.99,16.4
270,22.5,0,58.45,61.3,168.26,308.41,27.71
271,22.58,0,25.67,42.95,51.41,108.74,19.53
272,22.67,0,23.07,44.47,52.79,102.52,22.39
273,22.75,0,23.71,43.72,50.19,102.53,13.96
274,22.83,0,25.83,48.34,36.21,78.36,13.43
275,22.92,0,23.74,42.22,29.75,79.1,15.87
276,23.0,0,27.68,51.24,53.83,105.57,19.3
277,23.08,0,22.95,46.71,43.23,83.93,14.72
278,23.17,0,26.02,44.6,49.35,98.47,14.29
279,23.25,0,29.51,50.33,64.18,121.26,23.13
280,23.33,0,25.18,47.52,40.28,80.06,12.95
281,23.42,0,26.48,46.84,57.11,116.43,22.49
282,23.5,0,26.2,45.35,41.58,81.49,20.4
283,23.58,0,25.15,47.41,57.7,116.67,23.93
284,23.67,0,24.84,46.42,50.81,104.45,24.94
285,23.75,0,23.04,43.99,30.59,66.32,17.24
286,23.83,0,25.55,43.81,42.32,89.52,24.7
287,23.92,0,24.01,44.1,59.14,114.98,18.02
288,0.0,1,55.17,58.82,95.53,171.96,62.52
289,0.08,1,52.61,61.0,82.96,159.63,61.07
290,0.17,1,44.7,56.84,71.47,139.04,56.58
291,0.25,1,44.92,54.31,70.82,135.62,61.41
292,0.33,1,49.38,56.4,77.76,153.2,64.09
293,0.42,1,23.74,47.66,42.36,90.06,10.34
294,0.5,1,24.53,46.57,54.12,108.51,26.37
295,0.58,1,27.51,47.89,52.64,105.24,23.38
296,0.67,1,26.41,45.48,38.97,86.24,14.27
297,0.75,1,26.45,46.66,51.98,98.2,18.86
298,0.83,1,30.54,48.75,52.96,103.68,17.46
299,0.92,1,20.71,44.14,37.35,82.23,16.51
300,1.0,1,26.05,48.19,61.44,123.28,15.97
301,1.08,1,23.77,47.23,44.36,88.67,18.04
302,1.17,1,30.95,47.09,37.14,78.8,13.46
303,1.25,1,18.33,42.25,35.06,70.37,23.34
304,1.33,1,18.63,42.01,45.3,92.35,10.68
305,1.42,1,27.43,50.12,40.5,86.34,19.07
306,1.5,1,30.46,53.22,59.23,123.08,14.9
307,1.58,1,29.4,47.3,42.3,89.44,16.73
308,1.67,1,57.51,60.55,178.31,337.77,26.22
309,1.75,1,32.34,51.24,49.22,91.39,18.47
310,1.83,1,22.95,43.91,39.73,71.51,16.25
311,1.92,1,32.04,51.15,50.04,90.08,16.54
312,2.0,1,23.83,45.68,48.38,102.66,13.19
313,2.08,1,26.67,43.51,61.76,124.18,19.32
314,2.17,1,30.37,46.07,51.56,99.22,14.18
315,2.25,1,23.24,44.78,42.8,85.11,13.21
316,2.33,1,33.76,52.64,50.92,103.35,15.89
317,2.42,1,27.62,45.64,35.12,69.61,15.58
318,2.5,1,29.61,47.26,46.75,90.06,11.72
319,2.58,1,33.47,50.48,45.09,87.89,12.75
320,2.67,1,26.9,43.77,32.28,64.41,18.9
321,2.75,1,33.68,50.75,54.8,108.85,20.64
322,2.83,1,36.0,48.11,53.85,115.25,20.24
323,2.92,1,28.26,48.85,59.92,112.82,22.57
324,3.0,1,35.65,49.43,50.94,101.32,15.38
325,3.08,1,25.01,44.37,50.37,102.97,9.35
326,3.17,1,32.85,50.33,59.63,120.01,21.35
327,3.25,1,27.51,48.97,58.71,113.15,9.89
328,3.33,1,35.44,51.7,56.06,114.0,18.31
329,3.42,1,35.49,51.39,68.14,134.76,19.99
330,3.5,1,40.1,53.49,67.6,129.43,28.27
331,3.58,1,38.15,52.93,69.89,129.04,17.35
332,3.67,1,32.95,50.72,73.69,136.93,16.34
333,3.75,1,30.1,47.76,50.14,103.98,20.17
334,3.83,1,36.23,52.61,59.85,124.86,21.47
335,3.92,1,34.41,48.89,53.4,106.12,17.23
336,4.0,1,69.98,68.67,111.31,217.37,72.56
337,4.08,1,57.35,62.37,104.65,198.11,65.71
338,4.17,1,43.42,58.9,72.98,135.64,22.64
339,4.25,1,38.02,53.13,47.74,94.88,13.13
340,4.33,1,33.7,51.98,48.38,104.54,30.06
341,4.42,1,39.51,49.66,71.69,136.03,22.76
342,4.5,1,41.89,55.73,56.11,110.32,16.07
343,4.58,1,38.15,54.52,55.98,116.69,18.47
344,4.67,1,31.98,52.4,48.29,102.51,13.78
345,4.75,1,37.54,52.14,59.43,118.51,16.11
346,4.83,1,42.62,53.5,68.2,135.44,21.5
347,4.92,1,41.14,51.33,49.37,104.18,25.85
348,5.0,1,39.28,50.68,49.91,101.38,19.41
349,5.08,1,44.83,55.12,56.76,118.57,13.64
350,5.17,1,43.26,50.96,55.84,113.87,18.36
351,5.25,1,66.82,63.53,152.48,283.73,24.51
352,5.33,1,40.09,53.22,64.66,128.57,20.38
353,5.42,1,40.18,53.22,71.32,136.46,19.48
354,5.5,1,36.44,49.46,63.17,118.87,10.31
355,5.58,1,41.91,51.39,60.64,113.44,16.78
356,5.67,1,46.53,53.77,72.68,139.78,17.2
357,5.75,1,42.98,53.9,75.01,146.58,24.33
358,5.83,1,45.69,59.82,68.01,141.41,20.28
359,5.92,1,48.45,58.92,70.66,139.27,14.12
360,6.0,1,46.3,56.27,63.01,124.37,18.1
361,6.08,1,47.08,57.3,65.06,126.61,26.47
362,6.17,1,41.12,55.54,69.83,133.9,17.88
363,6.25,1,45.18,56.68,69.18,135.19,18.58
364,6.33,1,52.79,58.14,94.01,177.84,22.52
365,6.42,1,47.54,54.7,66.64,128.32,22.79
366,6.5,1,54.25,59.16,86.19,169.25,22.99
367,6.58,1,45.51,57.49,72.71,136.33,25.47
368,6.67,1,49.29,56.64,73.44,140.93,21.75
369,6.75,1,47.56,54.19,68.59,130.03,24.59
370,6.83,1,51.4,54.68,81.48,157.26,23.64
371,6.92,1,52.89,58.56,82.8,163.32,18.05
372,7.0,1,52.29,56.48,79.36,154.59,30.21
373,7.08,1,54.24,58.54,83.5,159.19,28.18
374,7.17,1,50.97,60.85,76.45,152.32,20.47
375,7.25,1,50.76,57.74,62.78,127.43,22.25
376,7.33,1,45.69,54.06,70.5,137.1,23.88
377,7.42,1,54.48,60.14,78.23,158.78,24.34
378,7.5,1,53.26,62.81,94.48,182.16,23.74
379,7.58,1,52.82,58.53,83.45,162.17,25.23
380,7.67,1,52.78,54.04,79.95,147.9,24.61
381,7.75,1,53.72,60.47,83.16,151.27,24.86
382,7.83,1,53.41,59.73,70.9,137.95,23.72
383,7.92,1,52.77,58.93,73.45,147.19,25.75
384,8.0,1,84.92,72.77,114.22,217.24,75.69
385,8.08,1,86.15,72.15,121.49,233.43,76.09
386,8.17,1,82.13,74.99,110.07,206.07,79.65
387,8.25,1,83.79,69.03,111.53,211.17,76.3
388,8.33,1,84.83,72.56,108.26,204.95,76.15
389,8.42,1,56.84,59.91,83.41,151.14,20.66
390,8.5,1,56.73,62.23,84.4,170.86,20.83
391,8.58,1,59.83,64.39,90.22,178.39,29.52
392,8.67,1,52.07,57.98,71.92,144.1,25.3
393,8.75,1,82.63,72.57,191.15,360.5,34.33
394,8.83,1,59.19,62.19,77.7,147.53,25.59
395,8.92,1,56.72,62.63,81.31,160.34,25.77
396,9.0,1,62.24,65.07,92.1,173.43,24.98
397,9.08,1,63.54,62.52,89.18,171.26,25.78
398,9.17,1,60.56,63.13,75.18,136.62,23.47
399,9.25,1,56.28,61.09,71.0,137.06,29.41
400,9.33,1,64.01,63.57,93.58,170.8,23.16
401,9.42,1,61.29,63.33,93.19,171.47,26.55
402,9.5,1,55.66,60.09,84.51,161.85,23.29
403,9.58,1,56.23,60.62,87.31,163.62,27.87
404,9.67,1,66.69,62.3,92.79,178.71,27.58
405,9.75,1,66.36,63.03,100.54,199.34,28.44
406,9.83,1,53.06,60.51,81.36,153.34,24.09
407,9.92,1,57.35,58.38,78.7,150.34,20.37
408,10.0,1,66.31,65.78,98.69,190.97,28.78
409,10.08,1,62.47,62.95,92.33,172.85,25.22
410,10.17,1,65.2,66.4,106.62,198.33,23.25
411,10.25,1,62.72,64.52,101.3,190.12,20.04
412,10.33,1,65.42,63.53,92.76,181.38,23.09
413,10.42,1,63.33,63.05,87.65,158.93,28.89
414,10.5,1,61.95,58.9,101.81,189.02,32.53
415,10.58,1,67.35,65.04,100.23,198.06,27.31
416,10.67,1,64.5,61.49,91.01,163.81,22.14
417,10.75,1,66.22,64.36,79.47,152.4,28.22
418,10.83,1,64.63,62.81,86.51,173.36,30.47
419,10.92,1,62.5,61.37,83.4,169.67,33.31
420,11.0,1,69.95,68.85,97.77,189.98,32.54
421,11.08,1,65.67,62.0,98.75,193.61,27.31
422,11.17,1,63.28,61.55,97.11,180.05,28.12
423,11.25,1,69.09,64.69,109.91,203.5,24.38
424,11.33,1,60.07,61.07,94.54,188.74,28.21
425,11.42,1,72.59,65.91,91.71,173.76,31.88
426,11.5,1,64.2,63.17,100.28,181.12,16.06
427,11.58,1,60.44,62.8,101.4,194.61,25.68
428,11.67,1,71.59,68.56,114.38,214.94,33.86
429,11.75,1,63.34,64.74,81.3,156.75,23.15
430,11.83,1,65.83,60.81,92.47,166.45,17.96
431,11.92,1,67.51,66.14,103.7,186.65,26.77
432,12.0,1,99.5,80.66,203.6,377.99,65.77
433,12.08,1,83.77,71.37,101.73,191.59,59.14
434,12.17,1,80.44,74.53,114.04,212.99,56.81
435,12.25,1,65.72,66.75,88.46,171.19,22.73
436,12.33,1,63.46,63.19,78.1,146.68,21.47
437,12.42,1,65.75,63.4,103.74,195.4,27.17
438,12.5,1,70.53,70.04,100.95,189.46,27.4
439,12.58,1,67.41,65.3,91.73,179.54,30.26
440,12.67,1,65.42,64.61,85.79,155.03,28.12
441,12.75,1,67.2,65.39,97.04,181.43,23.83
442,12.83,1,67.36,69.92,99.96,195.37,27.86
443,12.92,1,60.65,61.86,90.39,168.52,25.53
444,13.0,1,64.46,63.96,80.21,154.97,19.46
445,13.08,1,73.17,66.26,106.62,210.26,26.62
446,13.17,1,68.32,64.96,102.54,195.36,27.32
447,13.25,1,62.18,60.92,86.86,177.06,25.09
448,13.33,1,61.68,61.14,97.34,192.2,26.68
449,13.42,1,61.41,59.02,81.88,154.12,25.67
450,13.5,1,66.51,66.69,105.14,192.93,27.99
451,13.58,1,68.93,66.33,98.78,184.78,27.9
452,13.67,1,65.16,64.8,89.23,172.51,26.2
453,13.75,1,63.49,63.46,88.64,171.28,26.51
454,13.83,1,61.19,62.68,96.42,186.87,23.85
455,13.92,1,63.69,66.9,93.32,173.35,24.26
456,14.0,1,59.45,60.21,91.5,170.81,25.26
457,14.08,1,55.32,60.45,89.99,174.77,15.79
458,14.17,1,67.6,65.96,91.91,185.39,25.42
459,14.25,1,58.11,63.43,85.75,158.86,21.7
460,14.33,1,60.25,62.99,85.5,163.54,21.74
461,14.42,1,63.43,64.52,99.25,186.85,24.6
462,14.5,1,65.89,62.13,91.01,174.54,21.11
463,14.58,1,61.5,61.06,89.18,164.54,24.13
464,14.67,1,56.14,57.93,100.74,191.77,24.96
465,14.75,1,80.86,66.43,177.0,334.71,34.42
466,14.83,1,57.37,61.61,75.56,137.89,33.14
467,14.92,1,59.31,61.17,93.39,183.09,17.51
468,15.0,1,63.45,64.35,96.66,178.0,22.13
469,15.08,1,49.95,57.55,66.13,130.33,21.24
470,15.17,1,57.07,61.16,82.61,161.13,24.82
471,15.25,1,56.49,63.1,75.21,147.25,25.58
472,15.33,1,53.46,59.07,64.15,123.8,20.92
473,15.42,1,59.57,63.14,85.31,166.88,14.89
474,15.5,1,52.22,57.9,73.62,136.23,27.19
475,15.58,1,52.28,60.17,68.92,138.64,25.08
476,15.67,1,59.45,59.27,86.26,162.95,27.72
477,15.75,1,61.36,58.94,73.64,144.15,24.48
478,15.83,1,55.48,64.18,81.91,155.67,25.27
479,15.92,1,51.11,61.67,76.46,155.29,14.78
480,16.0,1,76.79,65.67,112.58,214.84,61.31
481,16.08,1,82.41,72.01,101.07,195.18,71.77
482,16.17,1,54.64,59.89,97.69,189.77,23.78
483,16.25,1,53.49,60.52,93.24,176.62,30.85
484,16.33,1,54.55,63.03,74.27,145.14,19.74
485,16.42,1,52.92,56.69,90.19,173.16,33.44
486,16.5,1,58.06,59.11,91.53,177.98,35.3
487,16.58,1,49.63,57.33,71.04,135.64,19.83
488,16.67,1,48.82,55.04,68.73,130.17,20.39
489,16.75,1,46.59,50.54,66.65,135.89,26.65
490,16.83,1,49.12,56.65,96.56,187.74,20.03
491,16.92,1,46.77,57.76,82.01,153.42,20.63
492,17.0,1,50.94,57.88,74.51,153.62,19.8
493,17.08,1,49.83,58.67,73.86,140.09,19.63
494,17.17,1,45.55,56.46,76.44,148.19,21.86
